Id,Target
1,missed
2,made
3,missed
4,made
5,made
6,missed
7,missed
8,made
9,missed
10,made
11,made
12,made
13,missed
14,made
15,made
16,missed
17,missed
18,missed
19,missed
20,made
21,missed
22,missed
23,missed
24,made
25,missed
26,missed
27,missed
28,missed
29,made
30,made
31,missed
32,missed
33,made
34,made
35,missed
36,made
37,missed
38,made
39,made
40,missed
41,missed
42,made
43,missed
44,made
45,made
46,made
47,made
48,made
49,made
50,missed
51,made
52,made
53,missed
54,made
55,missed
56,missed
57,made
58,missed
59,made
60,made
61,made
62,missed
63,missed
64,made
65,made
66,made
67,made
68,missed
69,made
70,made
71,made
72,missed
73,missed
74,made
75,missed
76,made
77,missed
78,missed
79,missed
80,made
81,made
82,missed
83,made
84,missed
85,missed
86,missed
87,missed
88,made
89,missed
90,missed
91,made
92,made
93,missed
94,missed
95,made
96,made
97,missed
98,missed
99,missed
100,missed
101,missed
102,missed
103,made
104,made
105,made
106,made
107,made
108,missed
109,missed
110,missed
111,missed
112,missed
113,made
114,missed
115,missed
116,missed
117,missed
118,made
119,missed
120,made
121,made
122,made
123,missed
124,made
125,missed
126,missed
127,missed
128,made
129,made
130,missed
131,missed
132,made
133,made
134,missed
135,made
136,missed
137,made
138,made
139,made
140,made
141,made
142,missed
143,made
144,made
145,made
146,made
147,missed
148,made
149,made
150,missed
151,made
152,made
153,missed
154,made
155,missed
156,missed
157,missed
158,made
159,missed
160,made
161,missed
162,made
163,missed
164,made
165,made
166,missed
167,made
168,missed
169,missed
170,missed
171,made
172,missed
173,made
174,missed
175,missed
176,made
177,made
178,missed
179,missed
180,missed
181,missed
182,missed
183,made
184,made
185,missed
186,missed
187,made
188,missed
189,missed
190,missed
191,missed
192,made
193,missed
194,missed
195,missed
196,made
197,missed
198,missed
199,missed
200,missed
201,made
202,made
203,missed
204,missed
205,missed
206,missed
207,made
208,missed
209,made
210,missed
211,made
212,missed
213,missed
214,missed
215,missed
216,missed
217,made
218,missed
219,made
220,missed
221,missed
222,missed
223,missed
224,made
225,made
226,missed
227,made
228,missed
229,made
230,missed
231,made
232,made
233,made
234,missed
235,made
236,made
237,missed
238,made
239,missed
240,made
241,made
242,made
243,missed
244,missed
245,missed
246,made
247,missed
248,missed
249,missed
250,missed
251,missed
252,made
253,missed
254,made
255,missed
256,missed
257,missed
258,missed
259,missed
260,missed
